fromId,toId,car_under_15,car_fifteen_29,car_thirty_44,car_forty5_plus,public_under_15,public_fifteen_29,public_thirty_44,public_forty5_plus,fhv_under_15,fhv_fifteen_29,fhv_thirty_44,fhv_forty5_plus,walk_under_15,walk_fifteen_29,walk_thirty_44,walk_forty5_plus,bike_under_15,bike_fifteen_29,bike_thirty_44,bike_forty5_plus
MN0401,MN0401,24,34,29,10,73,102,87,29,13,18,15,5,13,18,15,5,3,4,4,1
MN0502,MN0502,39,54,47,16,116,162,139,46,20,28,24,8,20,28,24,8,5,7,6,2
MN0603,MN0603,35,48,41,14,103,144,123,41,18,25,21,7,18,25,21,7,4,6,5,2
MN0603,MN0603,29,40,34,11,85,119,102,34,15,20,18,6,15,20,18,6,4,5,4,1
MN0661,MN0661,29,40,34,11,85,119,102,34,15,20,18,6,15,20,18,6,4,5,4,1
MN0604,MN0604,22,30,26,9,64,90,77,26,11,15,13,4,11,15,13,4,3,4,3,1
MN0604,MN0604,15,21,18,6,45,63,54,18,8,11,9,3,8,11,9,3,2,3,2,1
MN0604,MN0604,13,19,16,5,39,55,47,16,7,10,8,3,7,10,8,3,2,2,2,1
MN0604,MN0604,29,41,35,12,87,122,104,35,15,21,18,6,15,21,18,6,4,5,4,2
MN0661,MN0661,29,41,35,12,87,122,104,35,15,21,18,6,15,21,18,6,4,5,4,2
MN0401,MN0401,23,32,27,9,68,95,81,27,12,16,14,5,12,16,14,5,3,4,3,1
MN0401,MN0401,42,58,50,17,124,174,149,50,21,30,26,9,21,30,26,9,5,7,6,2
MN0401,MN0401,16,22,19,6,47,65,56,19,8,11,10,3,8,11,10,3,2,3,2,1
MN0401,MN0401,15,21,18,6,44,62,53,18,8,11,9,3,8,11,9,3,2,3,2,1
MN0401,MN0401,17,23,20,7,50,70,60,20,9,12,10,3,9,12,10,3,2,3,3,1
MN0501,MN0501,17,23,20,7,50,70,60,20,9,12,10,3,9,12,10,3,2,3,3,1
MN0401,MN0401,19,26,23,8,56,79,67,22,10,14,12,4,10,14,12,4,2,3,3,1
MN0501,MN0501,19,26,23,8,56,79,67,22,10,14,12,4,10,14,12,4,2,3,3,1
MN0603,MN0603,33,46,39,13,97,136,117,39,17,23,20,7,17,23,20,7,4,6,5,2
MN0604,MN0604,33,46,39,13,97,136,117,39,17,23,20,7,17,23,20,7,4,6,5,2
MN0661,MN0661,33,46,39,13,97,136,117,39,17,23,20,7,17,23,20,7,4,6,5,2
MN0603,MN0603,35,50,43,14,105,148,126,42,18,25,22,7,18,25,22,7,5,6,5,2
MN0603,MN0603,16,22,19,6,47,65,56,19,8,11,10,3,8,11,10,3,2,3,2,1
MN0603,MN0603,11,15,13,4,32,45,39,13,6,8,7,2,6,8,7,2,1,2,2,1
MN0603,MN0603,14,20,17,6,43,60,51,17,7,10,9,3,7,10,9,3,2,3,2,1
MN0604,MN0604,14,20,17,6,43,60,51,17,7,10,9,3,7,10,9,3,2,3,2,1
MN0661,MN0661,14,20,17,6,43,60,51,17,7,10,9,3,7,10,9,3,2,3,2,1
MN0603,MN0603,42,59,51,17,125,175,150,50,22,30,26,9,22,30,26,9,5,8,6,2
MN0661,MN0661,42,59,51,17,125,175,150,50,22,30,26,9,22,30,26,9,5,8,6,2
MN0603,MN0603,18,26,22,7,55,77,66,22,9,13,11,4,9,13,11,4,2,3,3,1
MN0401,MN0401,16,22,19,6,47,66,56,19,8,11,10,3,8,11,10,3,2,3,2,1
MN0401,MN0401,35,49,42,14,104,146,125,42,18,25,22,7,18,25,22,7,4,6,5,2
MN0401,MN0401,29,41,35,12,88,123,105,35,15,21,18,6,15,21,18,6,4,5,5,2
MN0401,MN0401,16,22,19,6,47,65,56,19,8,11,10,3,8,11,10,3,2,3,2,1
MN0401,MN0401,22,31,27,9,66,92,79,26,11,16,14,5,11,16,14,5,3,4,3,1
MN0604,MN0604,4,6,5,2,12,17,14,5,2,3,2,1,2,3,2,1,1,1,1,0
MN0661,MN0661,4,6,5,2,12,17,14,5,2,3,2,1,2,3,2,1,1,1,1,0
MN0604,MN0604,58,82,70,23,174,243,208,69,30,42,36,12,30,42,36,12,7,10,9,3
MN0661,MN0661,58,82,70,23,174,243,208,69,30,42,36,12,30,42,36,12,7,10,9,3
MN0604,MN0604,11,15,13,4,32,45,39,13,6,8,7,2,6,8,7,2,1,2,2,1
MN0661,MN0661,11,15,13,4,32,45,39,13,6,8,7,2,6,8,7,2,1,2,2,1
MN0604,MN0604,31,44,38,13,93,131,112,37,16,23,19,6,16,23,19,6,4,6,5,2
MN0604,MN0604,17,24,21,7,52,72,62,21,9,12,11,4,9,12,11,4,2,3,3,1
MN0604,MN0604,35,49,42,14,105,147,126,42,18,25,22,7,18,25,22,7,5,6,5,2
MN0604,MN0604,20,28,24,8,60,84,72,24,10,15,12,4,10,15,12,4,3,4,3,1
MN0401,MN0401,23,33,28,9,69,97,83,28,12,17,14,5,12,17,14,5,3,4,4,1
MN0401,MN0401,23,32,28,9,68,96,82,27,12,17,14,5,12,17,14,5,3,4,4,1
MN0401,MN0401,14,20,17,6,42,59,51,17,7,10,9,3,7,10,9,3,2,3,2,1
MN0401,MN0401,41,57,49,16,122,170,146,49,21,29,25,8,21,29,25,8,5,7,6,2
MN0501,MN0501,41,57,49,16,122,170,146,49,21,29,25,8,21,29,25,8,5,7,6,2
MN0401,MN0401,23,32,28,9,69,96,82,27,12,17,14,5,12,17,14,5,3,4,4,1
MN0501,MN0501,23,32,28,9,69,96,82,27,12,17,14,5,12,17,14,5,3,4,4,1
MN0401,MN0401,32,44,38,13,94,132,113,38,16,23,19,6,16,23,19,6,4,6,5,2
MN0501,MN0501,32,44,38,13,94,132,113,38,16,23,19,6,16,23,19,6,4,6,5,2
MN0603,MN0603,20,28,24,8,60,84,72,24,10,15,12,4,10,15,12,4,3,4,3,1
MN0604,MN0604,20,28,24,8,60,84,72,24,10,15,12,4,10,15,12,4,3,4,3,1
MN0604,MN0604,21,29,25,8,61,86,73,24,11,15,13,4,11,15,13,4,3,4,3,1
MN0401,MN0401,34,47,40,13,100,140,120,40,17,24,21,7,17,24,21,7,4,6,5,2
MN0501,MN0501,34,47,40,13,100,140,120,40,17,24,21,7,17,24,21,7,4,6,5,2
MN0401,MN0401,34,47,40,13,100,140,120,40,17,24,21,7,17,24,21,7,4,6,5,2
MN0401,MN0401,38,53,46,15,114,159,136,45,20,27,23,8,20,27,23,8,5,7,6,2
MN0401,MN0401,9,13,11,4,27,38,33,11,5,7,6,2,5,7,6,2,1,2,1,0
MN0401,MN0401,28,39,33,11,83,116,99,33,14,20,17,6,14,20,17,6,4,5,4,1
MN0401,MN0401,33,47,40,13,99,139,119,40,17,24,21,7,17,24,21,7,4,6,5,2
MN0401,MN0401,8,12,10,3,25,35,30,10,4,6,5,2,4,6,5,2,1,2,1,0
MN0502,MN0502,2,2,2,1,5,7,6,2,1,1,1,0,1,1,1,0,0,0,0,0
MN0401,MN0401,39,55,47,16,117,164,141,47,20,28,24,8,20,28,24,8,5,7,6,2
MN0501,MN0501,39,55,47,16,117,164,141,47,20,28,24,8,20,28,24,8,5,7,6,2
MN0401,MN0401,35,49,42,14,104,146,125,42,18,25,22,7,18,25,22,7,4,6,5,2
MN0501,MN0501,35,49,42,14,104,146,125,42,18,25,22,7,18,25,22,7,4,6,5,2
MN0502,MN0502,1,2,2,1,4,6,5,2,1,1,1,0,1,1,1,0,0,0,0,0
MN0502,MN0502,4,5,4,1,11,15,13,4,2,3,2,1,2,3,2,1,0,1,1,0
MN0401,MN0401,38,53,45,15,112,157,135,45,19,27,23,8,19,27,23,8,5,7,6,2
MN0501,MN0501,38,53,45,15,112,157,135,45,19,27,23,8,19,27,23,8,5,7,6,2
MN0401,MN0401,13,18,15,5,38,53,46,15,7,9,8,3,7,9,8,3,2,2,2,1
MN0401,MN0401,6,9,8,3,19,27,23,8,3,5,4,1,3,5,4,1,1,1,1,0
MN0401,MN0401,30,42,36,12,89,124,106,35,15,21,18,6,15,21,18,6,4,5,5,2
MN0604,MN0604,23,32,28,9,69,96,82,27,12,17,14,5,12,17,14,5,3,4,4,1
MN0604,MN0604,29,40,34,11,85,120,102,34,15,21,18,6,15,21,18,6,4,5,4,1
MN0604,MN0604,22,31,27,9,66,92,79,26,11,16,14,5,11,16,14,5,3,4,3,1
MN0604,MN0604,16,22,19,6,47,66,57,19,8,11,10,3,8,11,10,3,2,3,2,1
MN0604,MN0604,24,34,29,10,72,102,87,29,12,18,15,5,12,18,15,5,3,4,4,1
MN0604,MN0604,31,44,37,12,93,130,112,37,16,22,19,6,16,22,19,6,4,6,5,2
MN0604,MN0604,20,28,24,8,59,83,71,24,10,14,12,4,10,14,12,4,3,4,3,1
MN0401,MN0401,36,51,44,15,108,151,129,43,19,26,22,7,19,26,22,7,5,7,6,2
MN0401,MN0401,72,101,87,29,215,301,258,86,37,52,44,15,37,52,44,15,9,13,11,4
MN0401,MN0401,25,35,30,10,75,105,90,30,13,18,15,5,13,18,15,5,3,5,4,1
MN0502,MN0502,7,10,9,3,22,30,26,9,4,5,4,1,4,5,4,1,1,1,1,0
MN0604,MN0604,7,10,9,3,22,30,26,9,4,5,4,1,4,5,4,1,1,1,1,0
MN0604,MN0604,29,41,35,12,88,123,105,35,15,21,18,6,15,21,18,6,4,5,5,2
MN0401,MN0401,49,69,59,20,146,204,175,58,25,35,30,10,25,35,30,10,6,9,8,3
MN0501,MN0501,49,69,59,20,146,204,175,58,25,35,30,10,25,35,30,10,6,9,8,3
MN0502,MN0502,49,69,59,20,146,204,175,58,25,35,30,10,25,35,30,10,6,9,8,3
MN0502,MN0502,1,2,2,1,4,6,5,2,1,1,1,0,1,1,1,0,0,0,0,0
MN0604,MN0604,1,2,2,1,4,6,5,2,1,1,1,0,1,1,1,0,0,0,0,0
MN0502,MN0502,6,8,7,2,17,23,20,7,3,4,3,1,3,4,3,1,1,1,1,0
MN0401,MN0401,72,100,86,29,213,298,255,85,37,51,44,15,37,51,44,15,9,13,11,4
MN0401,MN0401,13,19,16,5,39,55,47,16,7,10,8,3,7,10,8,3,2,2,2,1
MN0501,MN0501,13,19,16,5,39,55,47,16,7,10,8,3,7,10,8,3,2,2,2,1
MN0502,MN0502,23,33,28,9,69,97,83,28,12,17,14,5,12,17,14,5,3,4,4,1
MN0604,MN0604,30,41,35,12,88,123,105,35,15,21,18,6,15,21,18,6,4,5,5,2
MN0801,MN0801,30,41,35,12,88,123,105,35,15,21,18,6,15,21,18,6,4,5,5,2
MN0604,MN0604,10,14,12,4,30,42,36,12,5,7,6,2,5,7,6,2,1,2,2,1
MN0604,MN0604,33,46,39,13,98,137,117,39,17,24,20,7,17,24,20,7,4,6,5,2
MN0604,MN0604,31,43,37,12,92,128,110,37,16,22,19,6,16,22,19,6,4,6,5,2
MN0604,MN0604,23,32,28,9,68,96,82,27,12,16,14,5,12,16,14,5,3,4,4,1
MN0604,MN0604,11,16,14,5,34,48,41,14,6,8,7,2,6,8,7,2,1,2,2,1
MN0801,MN0801,11,16,14,5,34,48,41,14,6,8,7,2,6,8,7,2,1,2,2,1
MN0801,MN0801,47,66,57,19,140,196,168,56,24,34,29,10,24,34,29,10,6,8,7,2
MN0604,MN0604,26,36,31,10,77,108,93,31,13,19,16,5,13,19,16,5,3,5,4,1
MN0801,MN0801,26,36,31,10,77,108,93,31,13,19,16,5,13,19,16,5,3,5,4,1
MN0604,MN0604,24,34,29,10,72,100,86,29,12,17,15,5,12,17,15,5,3,4,4,1
MN0801,MN0801,24,34,29,10,72,100,86,29,12,17,15,5,12,17,15,5,3,4,4,1
MN0801,MN0801,36,50,43,14,107,150,129,43,18,26,22,7,18,26,22,7,5,6,6,2
MN0604,MN0604,37,51,44,15,109,152,130,43,19,26,22,7,19,26,22,7,5,7,6,2
MN0604,MN0604,4,6,5,2,13,18,16,5,2,3,3,1,2,3,3,1,1,1,1,0
MN0604,MN0604,28,39,33,11,82,115,98,33,14,20,17,6,14,20,17,6,4,5,4,1
MN0604,MN0604,44,62,53,18,131,184,158,53,23,32,27,9,23,32,27,9,6,8,7,2
MN0604,MN0604,13,18,16,5,38,54,46,15,7,9,8,3,7,9,8,3,2,2,2,1
MN0801,MN0801,13,18,16,5,38,54,46,15,7,9,8,3,7,9,8,3,2,2,2,1
MN0604,MN0604,24,34,29,10,71,100,86,29,12,17,15,5,12,17,15,5,3,4,4,1
MN0604,MN0604,29,40,35,12,86,120,103,34,15,21,18,6,15,21,18,6,4,5,4,1
MN0801,MN0801,29,40,35,12,86,120,103,34,15,21,18,6,15,21,18,6,4,5,4,1
MN0802,MN0802,29,40,35,12,86,120,103,34,15,21,18,6,15,21,18,6,4,5,4,1
MN0604,MN0604,16,22,19,6,47,66,56,19,8,11,10,3,8,11,10,3,2,3,2,1
MN0401,MN0401,5,7,6,2,15,21,18,6,3,4,3,1,3,4,3,1,1,1,1,0
MN0402,MN0402,5,7,6,2,15,21,18,6,3,4,3,1,3,4,3,1,1,1,1,0
MN0501,MN0501,5,7,6,2,15,21,18,6,3,4,3,1,3,4,3,1,1,1,1,0
MN0502,MN0502,5,7,6,2,15,21,18,6,3,4,3,1,3,4,3,1,1,1,1,0
MN0801,MN0801,38,53,46,15,113,158,136,45,20,27,23,8,20,27,23,8,5,7,6,2
MN0802,MN0802,38,53,46,15,113,158,136,45,20,27,23,8,20,27,23,8,5,7,6,2
MN0801,MN0801,12,17,14,5,35,49,42,14,6,9,7,2,6,9,7,2,2,2,2,1
MN0802,MN0802,12,17,14,5,35,49,42,14,6,9,7,2,6,9,7,2,2,2,2,1
MN0801,MN0801,61,85,73,24,181,253,217,72,31,44,37,12,31,44,37,12,8,11,9,3
MN0802,MN0802,61,85,73,24,181,253,217,72,31,44,37,12,31,44,37,12,8,11,9,3
MN0801,MN0801,10,14,12,4,29,40,35,12,5,7,6,2,5,7,6,2,1,2,1,0
MN0801,MN0801,10,15,12,4,31,43,37,12,5,7,6,2,5,7,6,2,1,2,2,1
MN0604,MN0604,26,37,32,11,78,109,94,31,13,19,16,5,13,19,16,5,3,5,4,1
MN0801,MN0801,26,37,32,11,78,109,94,31,13,19,16,5,13,19,16,5,3,5,4,1
MN0401,MN0401,62,87,75,25,185,259,222,74,32,45,38,13,32,45,38,13,8,11,10,3
MN0402,MN0402,62,87,75,25,185,259,222,74,32,45,38,13,32,45,38,13,8,11,10,3
MN0501,MN0501,62,87,75,25,185,259,222,74,32,45,38,13,32,45,38,13,8,11,10,3
MN0502,MN0502,62,87,75,25,185,259,222,74,32,45,38,13,32,45,38,13,8,11,10,3
MN0401,MN0401,39,55,47,16,117,164,141,47,20,28,24,8,20,28,24,8,5,7,6,2
MN0401,MN0401,28,39,33,11,82,115,99,33,14,20,17,6,14,20,17,6,4,5,4,1
MN0402,MN0402,28,39,33,11,82,115,99,33,14,20,17,6,14,20,17,6,4,5,4,1
MN0502,MN0502,17,24,21,7,51,72,61,20,9,12,11,4,9,12,11,4,2,3,3,1
MN6491,MN6491,17,24,21,7,51,72,61,20,9,12,11,4,9,12,11,4,2,3,3,1
MN0502,MN0502,11,16,14,5,34,48,41,14,6,8,7,2,6,8,7,2,1,2,2,1
MN0802,MN0802,11,16,14,5,34,48,41,14,6,8,7,2,6,8,7,2,1,2,2,1
MN0604,MN0604,12,17,14,5,35,49,42,14,6,8,7,2,6,8,7,2,2,2,2,1
MN0802,MN0802,12,17,14,5,35,49,42,14,6,8,7,2,6,8,7,2,2,2,2,1
MN0502,MN0502,10,14,12,4,30,42,36,12,5,7,6,2,5,7,6,2,1,2,2,1
MN0604,MN0604,10,14,12,4,30,42,36,12,5,7,6,2,5,7,6,2,1,2,2,1
MN0802,MN0802,10,14,12,4,30,42,36,12,5,7,6,2,5,7,6,2,1,2,2,1
MN0402,MN0402,2,3,2,1,5,8,6,2,1,1,1,0,1,1,1,0,0,0,0,0
MN0502,MN0502,2,3,2,1,5,8,6,2,1,1,1,0,1,1,1,0,0,0,0,0
MN0502,MN0502,7,10,9,3,21,30,26,9,4,5,4,1,4,5,4,1,1,1,1,0
MN0802,MN0802,7,10,9,3,21,30,26,9,4,5,4,1,4,5,4,1,1,1,1,0
MN0502,MN0502,13,18,16,5,39,54,46,15,7,9,8,3,7,9,8,3,2,2,2,1
MN0802,MN0802,13,18,16,5,39,54,46,15,7,9,8,3,7,9,8,3,2,2,2,1
MN6491,MN6491,13,18,16,5,39,54,46,15,7,9,8,3,7,9,8,3,2,2,2,1
MN0604,MN0604,35,49,42,14,104,146,125,42,18,25,22,7,18,25,22,7,4,6,5,2
MN0801,MN0801,35,49,42,14,104,146,125,42,18,25,22,7,18,25,22,7,4,6,5,2
MN0802,MN0802,35,49,42,14,104,146,125,42,18,25,22,7,18,25,22,7,4,6,5,2
MN0604,MN0604,16,22,19,6,47,66,57,19,8,11,10,3,8,11,10,3,2,3,2,1
MN0802,MN0802,16,22,19,6,47,66,57,19,8,11,10,3,8,11,10,3,2,3,2,1
MN0401,MN0401,32,44,38,13,94,132,113,38,16,23,20,6,16,23,20,6,4,6,5,2
MN0402,MN0402,32,44,38,13,94,132,113,38,16,23,20,6,16,23,20,6,4,6,5,2
MN0502,MN0502,32,44,38,13,94,132,113,38,16,23,20,6,16,23,20,6,4,6,5,2
MN0401,MN0401,53,75,64,21,159,223,191,64,27,38,33,11,27,38,33,11,7,10,8,3
MN0402,MN0402,53,75,64,21,159,223,191,64,27,38,33,11,27,38,33,11,7,10,8,3
MN0801,MN0801,20,28,24,8,60,83,72,24,10,14,12,4,10,14,12,4,3,4,3,1
MN0801,MN0801,33,46,40,13,99,138,118,39,17,24,20,7,17,24,20,7,4,6,5,2
MN0801,MN0801,24,33,28,9,70,98,84,28,12,17,14,5,12,17,14,5,3,4,4,1
MN0401,MN0401,47,66,56,19,139,195,167,56,24,34,29,10,24,34,29,10,6,8,7,2
MN0402,MN0402,47,66,56,19,139,195,167,56,24,34,29,10,24,34,29,10,6,8,7,2
MN0401,MN0401,86,121,104,35,257,360,308,103,44,62,53,18,44,62,53,18,11,16,13,4
MN0402,MN0402,86,121,104,35,257,360,308,103,44,62,53,18,44,62,53,18,11,16,13,4
MN0801,MN0801,29,41,35,12,87,122,105,35,15,21,18,6,15,21,18,6,4,5,5,2
MN0802,MN0802,29,41,35,12,87,122,105,35,15,21,18,6,15,21,18,6,4,5,5,2
MN0801,MN0801,23,32,28,9,69,96,82,27,12,17,14,5,12,17,14,5,3,4,4,1
MN0802,MN0802,23,32,28,9,69,96,82,27,12,17,14,5,12,17,14,5,3,4,4,1
MN0801,MN0801,3,5,4,1,10,14,12,4,2,2,2,1,2,2,2,1,0,1,1,0
MN0802,MN0802,3,5,4,1,10,14,12,4,2,2,2,1,2,2,2,1,0,1,1,0
MN0801,MN0801,35,49,42,14,105,147,126,42,18,25,22,7,18,25,22,7,5,6,5,2
MN0801,MN0801,44,62,53,18,131,183,157,52,23,32,27,9,23,32,27,9,6,8,7,2
MN0801,MN0801,28,40,34,11,84,118,101,34,15,20,17,6,15,20,17,6,4,5,4,1
MN0801,MN0801,25,36,31,10,76,106,91,30,13,18,16,5,13,18,16,5,3,5,4,1
MN0802,MN0802,25,36,31,10,76,106,91,30,13,18,16,5,13,18,16,5,3,5,4,1
MN0801,MN0801,13,18,15,5,38,53,45,15,6,9,8,3,6,9,8,3,2,2,2,1
MN0802,MN0802,13,18,15,5,38,53,45,15,6,9,8,3,6,9,8,3,2,2,2,1
MN0502,MN0502,3,4,4,1,9,13,11,4,2,2,2,1,2,2,2,1,0,1,0,0
MN0402,MN0402,5,6,6,2,14,19,17,6,2,3,3,1,2,3,3,1,1,1,1,0
MN0502,MN0502,5,6,6,2,14,19,17,6,2,3,3,1,2,3,3,1,1,1,1,0
MN0801,MN0801,9,12,10,3,26,36,31,10,4,6,5,2,4,6,5,2,1,2,1,0
MN0802,MN0802,9,12,10,3,26,36,31,10,4,6,5,2,4,6,5,2,1,2,1,0
MN0801,MN0801,17,24,21,7,52,72,62,21,9,12,11,4,9,12,11,4,2,3,3,1
MN0802,MN0802,17,24,21,7,52,72,62,21,9,12,11,4,9,12,11,4,2,3,3,1
MN0802,MN0802,19,26,22,7,55,77,66,22,10,13,11,4,10,13,11,4,2,3,3,1
MN0801,MN0801,9,13,11,4,27,38,33,11,5,7,6,2,5,7,6,2,1,2,1,0
MN0802,MN0802,9,13,11,4,27,38,33,11,5,7,6,2,5,7,6,2,1,2,1,0
MN0402,MN0402,35,49,42,14,104,145,124,41,18,25,21,7,18,25,21,7,4,6,5,2
MN0502,MN0502,35,49,42,14,104,145,124,41,18,25,21,7,18,25,21,7,4,6,5,2
MN0402,MN0402,27,38,33,11,82,114,98,33,14,20,17,6,14,20,17,6,4,5,4,1
MN0402,MN0402,39,54,46,15,115,161,138,46,20,28,24,8,20,28,24,8,5,7,6,2
MN0402,MN0402,13,18,16,5,39,55,47,16,7,9,8,3,7,9,8,3,2,2,2,1
MN0402,MN0402,18,25,22,7,54,76,65,22,9,13,11,4,9,13,11,4,2,3,3,1
MN0402,MN0402,20,28,24,8,59,83,71,24,10,14,12,4,10,14,12,4,3,4,3,1
MN0802,MN0802,12,17,14,5,36,50,43,14,6,9,7,2,6,9,7,2,2,2,2,1
MN0802,MN0802,12,16,14,5,35,48,41,14,6,8,7,2,6,8,7,2,1,2,2,1
MN0802,MN0802,6,8,7,2,18,25,21,7,3,4,4,1,3,4,4,1,1,1,1,0
